alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
LLFree16K,1,0,16,73,73,73,73,73,73,0,9,131070
LLFree16K,1,1,16,75,75,75,75,75,75,0,9,131070
LLFree16K,1,2,16,73,73,73,73,73,73,0,9,131070
LLFree16K,1,3,16,74,74,74,74,74,74,0,9,131070
LLFree16K,2,0,16,76,77,79,76,77,79,0,9,131070
LLFree16K,2,1,16,75,76,77,75,76,77,0,9,131070
LLFree16K,2,2,16,75,75,75,75,75,75,0,9,131070
LLFree16K,2,3,16,74,75,77,74,75,77,0,9,131070
LLFree16K,3,0,16,73,73,75,73,73,75,0,9,131070
LLFree16K,3,1,16,74,89,120,74,89,120,0,11,131070
LLFree16K,3,2,16,74,76,79,74,76,79,0,9,131070
LLFree16K,3,3,16,75,80,88,75,80,88,0,10,131070
LLFree16K,4,0,16,75,92,119,75,92,119,0,11,131070
LLFree16K,4,1,16,74,75,77,74,75,77,0,9,131070
LLFree16K,4,2,16,74,97,135,74,97,135,0,12,131070
LLFree16K,4,3,16,74,94,127,74,94,127,0,12,131070
