alloc,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
Kernel,1,0,314572,932,932,932,932,932,932,0,0
Kernel,1,1,314572,934,934,934,934,934,934,0,0
Kernel,1,2,314572,933,933,933,933,933,933,0,0
Kernel,1,3,314572,930,930,930,930,930,930,0,0
Kernel,2,0,314572,904,913,922,904,913,922,0,0
Kernel,2,1,314572,912,918,924,912,918,924,0,0
Kernel,2,2,314572,908,912,916,908,912,916,0,0
Kernel,2,3,314572,910,913,917,910,913,917,0,0
Kernel,4,0,314572,920,938,952,920,938,952,0,0
Kernel,4,1,314572,924,941,951,924,941,951,0,0
Kernel,4,2,314572,920,935,949,920,935,949,0,0
Kernel,4,3,314572,922,936,948,922,936,948,0,0
Kernel,8,0,314572,936,949,961,936,949,961,0,0
Kernel,8,1,314572,937,949,960,937,949,960,0,0
Kernel,8,2,314572,935,949,961,935,949,961,0,0
Kernel,8,3,314572,940,951,963,940,951,963,0,0
Kernel,16,0,314572,967,976,989,967,976,989,0,0
Kernel,16,1,314572,967,978,991,967,978,991,0,0
Kernel,16,2,314572,967,979,994,967,979,994,0,0
Kernel,16,3,314572,966,976,989,966,976,989,0,0
Kernel,24,0,314572,1029,1045,1060,1029,1045,1060,0,0
Kernel,24,1,314572,1027,1041,1054,1027,1041,1054,0,0
Kernel,24,2,314572,1028,1041,1055,1028,1041,1055,0,0
Kernel,24,3,314572,1030,1043,1056,1030,1043,1056,0,0
Kernel,32,0,314572,1116,1135,1221,1116,1135,1221,0,0
Kernel,32,1,314572,1126,1135,1145,1126,1135,1145,0,0
Kernel,32,2,314572,1129,1137,1146,1129,1137,1146,0,0
Kernel,32,3,314572,1116,1128,1140,1116,1128,1140,0,0
Kernel,40,0,314572,1240,1248,1259,1240,1248,1259,0,0
Kernel,40,1,314572,1235,1244,1254,1235,1244,1254,0,0
Kernel,40,2,314572,1237,1244,1254,1237,1244,1254,0,0
Kernel,40,3,314572,1237,1245,1259,1237,1245,1259,0,0
Kernel,48,0,314572,1419,1451,1606,1419,1451,1606,0,0
Kernel,48,1,314572,1419,1448,1528,1419,1448,1528,0,0
Kernel,48,2,314572,1423,1449,1536,1423,1449,1536,0,0
Kernel,48,3,314572,1421,1448,1531,1421,1448,1531,0,0
Kernel,56,0,314572,1504,1664,2025,1504,1664,2025,0,0
Kernel,56,1,314572,1507,1667,2021,1507,1667,2021,0,0
Kernel,56,2,314572,1512,1663,2030,1512,1663,2030,0,0
Kernel,56,3,314572,1509,1663,2009,1509,1663,2009,0,0
Kernel,64,0,314572,1593,1869,2166,1593,1869,2166,0,0
Kernel,64,1,314572,1590,1870,2156,1590,1870,2156,0,0
Kernel,64,2,314572,1586,1870,2152,1586,1870,2152,0,0
Kernel,64,3,314572,1589,1870,2156,1589,1870,2156,0,0
Kernel,80,0,314572,1742,2321,2502,1742,2321,2502,0,0
Kernel,80,1,314572,1742,2323,2515,1742,2323,2515,0,0
Kernel,80,2,314572,1746,2322,2505,1746,2322,2505,0,0
Kernel,80,3,314572,1747,2324,2517,1747,2324,2517,0,0
Kernel,96,0,314572,2884,2973,3017,2884,2973,3017,0,0
Kernel,96,1,314572,2889,2977,3027,2889,2977,3027,0,0
Kernel,96,2,314572,2912,2976,3021,2912,2976,3021,0,0
Kernel,96,3,314572,2910,2978,3015,2910,2978,3015,0,0
